Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
27,Travel_Frequently,104,Sales,5,5,Medical,1,1016,4,Female,82,4,3,Sales Executive,3,Divorced,8271.77,8654,0,Y,Yes,20,3,3,80,2,6,6,4,2,1,1,0,Yes
39,Travel_Rarely,460,Sales,12,5,Marketing,1,1017,1,Female,43,1,1,Sales Executive,1,Married,2907.31,4021,4,Y,No,14,3,4,80,1,17,4,2,4,0,4,4,Yes
28,Travel_Rarely,558,Research & Development,6,4,Human Resources,1,1018,2,Female,81,1,3,Manufacturing Director,3,Divorced,7587.58,15955,7,Y,No,21,3,3,80,2,7,6,4,1,1,1,1,Yes
24,Travel_Rarely,347,Sales,22,5,Medical,1,1019,3,Male,65,1,2,Sales Executive,2,Married,5141.66,22008,7,Y,No,20,4,2,80,2,2,6,3,1,0,1,0,Yes
50,Travel_Rarely,1045,Sales,9,2,Life Sciences,1,1020,4,Female,37,3,1,Sales Representative,1,Married,3074.51,24728,9,Y,No,22,3,1,80,1,31,4,4,0,0,0,0,Yes
34,Travel_Rarely,521,Research & Development,20,1,Technical Degree,1,1021,1,Male,69,2,4,Research Scientist,2,Single,9750.37,17716,8,Y,No,17,3,4,80,3,12,4,4,4,2,2,3,Yes
37,Travel_Rarely,114,Research & Development,1,1,Life Sciences,1,1022,1,Female,51,1,4,Research Scientist,3,Single,9879.69,13310,3,Y,Yes,24,3,1,80,3,18,2,4,6,6,3,2,Yes
24,Travel_Rarely,835,Sales,22,5,Medical,1,1023,2,Male,45,3,1,Sales Executive,1,Married,3106.22,18520,9,Y,No,23,3,4,80,1,3,2,3,1,1,0,1,Yes
32,Travel_Frequently,1245,Sales,15,3,Medical,1,1024,4,Female,89,1,2,Sales Representative,1,Single,6193.63,6225,5,Y,Yes,15,4,4,80,2,11,4,4,8,2,2,2,Yes
37,Travel_Frequently,376,Research & Development,21,3,Life Sciences,1,1025,1,Female,89,4,2,Research Scientist,3,Married,5711.25,11209,6,Y,No,23,4,4,80,2,18,5,2,3,2,0,3,Yes
26,Travel_Rarely,552,Sales,26,5,Life Sciences,1,1026,3,Female,39,2,2,Sales Executive,1,Single,5379.16,13892,4,Y,No,13,3,1,80,2,6,1,4,2,2,0,2,Yes
40,Travel_Rarely,1417,Research & Development,6,2,Life Sciences,1,1027,2,Male,54,4,3,Laboratory Technician,4,Divorced,7673.76,17723,7,Y,No,20,3,4,80,2,18,2,2,14,9,12,14,No
31,Travel_Rarely,697,Sales,19,3,Medical,1,1028,4,Male,60,3,1,Sales Executive,1,Single,4518.17,14719,2,Y,No,18,3,4,80,1,13,3,4,6,3,0,6,Yes
34,Travel_Rarely,545,Sales,18,5,Technical Degree,1,1029,1,Female,50,4,4,Sales Representative,1,Divorced,9876.77,5140,7,Y,No,12,3,4,80,0,13,2,4,7,3,3,6,Yes
31,Travel_Rarely,309,Research & Development,6,2,Life Sciences,1,1030,1,Male,62,4,1,Manufacturing Director,4,Married,3150.65,13721,4,Y,No,11,3,1,80,3,9,3,4,1,0,0,0,Yes
53,Travel_Rarely,813,Sales,13,2,Marketing,1,1031,4,Female,60,1,3,Sales Executive,2,Single,7490.65,4587,0,Y,Yes,15,3,4,80,3,31,2,1,4,3,4,1,Yes
36,Travel_Rarely,401,Research & Development,1,4,Life Sciences,1,1032,2,Male,50,4,3,Laboratory Technician,2,Married,7565.63,12574,5,Y,No,21,3,1,80,0,15,4,1,4,4,4,3,Yes
27,Travel_Rarely,1346,Sales,23,2,Medical,1,1033,4,Female,65,1,1,Sales Representative,4,Single,3832.68,8669,1,Y,No,14,4,3,80,2,8,6,3,8,3,1,1,Yes
44,Travel_Rarely,102,Sales,23,3,Life Sciences,1,1034,4,Male,94,1,1,Sales Executive,1,Single,3619.77,20989,6,Y,No,21,4,4,80,0,23,3,2,12,11,3,4,Yes
26,Travel_Rarely,1089,Research & Development,26,3,Technical Degree,1,1035,2,Female,33,2,3,Laboratory Technician,3,Married,8447.66,7004,8,Y,Yes,20,4,2,80,0,4,6,3,2,1,2,2,No
38,Non-Travel,1216,Research & Development,13,5,Marketing,1,1036,1,Female,97,3,3,Research Scientist,4,Single,7386.66,16301,2,Y,Yes,25,3,3,80,0,18,6,2,5,1,3,5,Yes
19,Travel_Rarely,619,Research & Development,7,5,Medical,1,1037,3,Male,33,3,1,Laboratory Technician,3,Divorced,2635.05,10400,9,Y,No,17,3,1,80,3,0,1,3,0,0,0,0,Yes
25,Travel_Rarely,592,Sales,15,2,Marketing,1,1038,2,Male,38,3,2,Sales Executive,2,Single,5607.26,9504,3,Y,No,25,3,2,80,3,4,2,3,1,1,0,0,No
38,Travel_Rarely,1358,Research & Development,12,1,Medical,1,1039,3,Male,59,1,1,Manufacturing Director,4,Married,3279.44,5810,3,Y,Yes,23,3,1,80,0,20,2,4,11,0,0,5,Yes
43,Travel_Rarely,719,Sales,27,4,Other,1,1040,1,Male,74,3,1,Sales Executive,3,Married,2747.98,8080,3,Y,Yes,19,3,1,80,0,22,4,4,20,4,19,0,Yes
38,Travel_Frequently,1284,Research & Development,26,1,Marketing,1,1041,4,Male,33,1,2,Research Scientist,1,Married,5148.24,9408,2,Y,Yes,16,3,4,80,0,16,3,4,3,3,1,2,Yes
35,Travel_Rarely,430,Research & Development,1,2,Technical Degree,1,1042,3,Female,98,2,1,Manufacturing Director,4,Married,3320.81,6153,4,Y,No,21,3,2,80,2,13,5,4,11,3,2,6,Yes
34,Non-Travel,432,Research & Development,15,2,Medical,1,1043,1,Male,52,3,3,Research Scientist,3,Married,8069.9,13055,8,Y,No,11,3,1,80,2,16,4,4,13,1,9,0,No
23,Travel_Rarely,149,Sales,4,1,Life Sciences,1,1044,1,Male,45,1,3,Sales Executive,4,Married,6758.38,21760,7,Y,No,25,3,3,80,2,4,6,3,3,2,3,0,Yes
30,Travel_Rarely,962,Sales,13,4,Medical,1,1045,4,Male,51,3,4,Sales Executive,4,Married,9674.89,19752,9,Y,Yes,18,3,4,80,3,8,3,2,0,0,0,0,Yes
32,Travel_Frequently,371,Human Resources,23,1,Life Sciences,1,1046,4,Male,77,3,3,Human Resources,2,Single,8610.24,5800,1,Y,No,12,3,3,80,1,13,2,1,10,7,5,8,Yes
46,Travel_Rarely,679,Sales,27,5,Medical,1,1047,1,Male,91,2,4,Sales Executive,2,Married,9412.57,3037,8,Y,Yes,14,3,3,80,0,27,2,1,21,16,16,4,Yes
40,Travel_Rarely,1375,Sales,25,3,Medical,1,1048,1,Female,89,4,2,Sales Representative,1,Single,5397.88,2992,9,Y,No,13,3,4,80,0,19,2,2,8,5,7,2,Yes
21,Travel_Rarely,659,Research & Development,5,5,Medical,1,1049,3,Female,34,3,2,Manufacturing Director,2,Single,5859.89,25696,1,Y,No,16,4,1,80,1,2,2,1,1,1,0,1,Yes
39,Travel_Rarely,795,Research & Development,29,3,Life Sciences,1,1050,1,Male,36,2,5,Research Scientist,2,Married,11761.09,6510,6,Y,No,12,3,3,80,0,17,0,3,4,3,2,2,Yes
33,Travel_Frequently,1213,Research & Development,2,2,Life Sciences,1,1051,1,Male,80,3,2,Laboratory Technician,2,Married,6208.78,2393,4,Y,No,15,3,1,80,2,11,2,2,9,3,1,8,Yes
30,Travel_Rarely,545,Sales,23,4,Medical,1,1052,3,Female,94,3,1,Sales Executive,3,Married,3416.44,10005,6,Y,No,21,3,1,80,2,10,2,2,10,9,7,5,No
42,Travel_Rarely,1116,Sales,26,1,Other,1,1053,2,Male,38,3,3,Sales Representative,4,Married,7851.1,22070,4,Y,No,19,3,4,80,1,23,5,1,9,2,1,3,Yes
46,Travel_Rarely,1455,Research & Development,1,4,Life Sciences,1,1054,3,Male,74,3,4,Research Scientist,2,Single,9859.05,18741,5,Y,No,25,3,3,80,2,26,5,1,15,3,0,14,Yes
45,Travel_Rarely,1262,Sales,16,1,Medical,1,1055,3,Male,76,4,3,Sales Executive,3,Single,7332.22,22388,7,Y,Yes,13,4,3,80,1,24,3,3,3,0,3,1,Yes
29,Travel_Rarely,456,Sales,23,5,Marketing,1,1056,4,Male,96,4,2,Sales Executive,4,Single,5443.01,19565,0,Y,No,12,4,4,80,2,9,6,4,3,3,2,1,No
34,Travel_Rarely,373,Research & Development,6,5,Medical,1,1057,3,Female,53,3,3,Laboratory Technician,2,Married,7494.4,8817,0,Y,Yes,12,3,1,80,0,15,2,2,7,2,3,7,Yes
39,Travel_Rarely,1142,Research & Development,23,1,Life Sciences,1,1058,1,Female,39,3,5,Laboratory Technician,2,Married,10881.15,4065,4,Y,No,25,3,1,80,3,17,2,4,5,1,1,5,Yes
45,Travel_Frequently,410,Research & Development,16,4,Medical,1,1059,1,Male,77,2,1,Research Scientist,4,Single,3305.66,25255,0,Y,Yes,19,3,4,80,2,24,3,1,22,14,9,0,Yes
32,Travel_Rarely,969,Research & Development,14,1,Life Sciences,1,1060,1,Male,64,2,3,Manufacturing Director,3,Married,8248.08,14094,2,Y,Yes,16,3,1,80,1,13,6,2,10,5,3,7,Yes
35,Travel_Rarely,985,Sales,29,2,Other,1,1061,2,Female,83,1,1,Sales Executive,3,Married,4018.86,15879,9,Y,No,12,3,1,80,3,14,2,4,11,0,8,5,Yes
27,Travel_Frequently,253,Research & Development,26,5,Life Sciences,1,1062,1,Female,100,4,2,Healthcare Representative,1,Married,5210.03,13610,8,Y,No,13,3,3,80,0,9,2,3,8,1,7,4,Yes
26,Travel_Rarely,1383,Research & Development,3,2,Life Sciences,1,1063,2,Female,45,3,2,Research Scientist,4,Married,5492.13,21513,6,Y,No,25,3,1,80,3,7,4,3,4,4,4,1,No
44,Travel_Rarely,719,Sales,15,5,Life Sciences,1,1064,1,Female,82,4,1,Sales Executive,1,Married,3985.69,2154,5,Y,Yes,24,3,1,80,1,26,0,3,18,11,9,1,Yes
49,Travel_Rarely,982,Sales,3,5,Life Sciences,1,1065,3,Male,69,2,1,Sales Representative,3,Married,3721.7,11746,7,Y,Yes,11,3,1,80,0,29,3,2,10,7,0,1,No
36,Travel_Rarely,896,Sales,23,3,Marketing,1,1066,4,Female,49,4,2,Sales Executive,2,Single,5899.96,10678,7,Y,No,12,3,1,80,0,17,4,2,1,0,0,1,No
46,Travel_Rarely,224,Research & Development,29,2,Life Sciences,1,1067,1,Female,98,4,1,Healthcare Representative,1,Single,3767.06,8294,5,Y,No,25,3,4,80,2,28,5,2,2,2,1,1,Yes
40,Non-Travel,1477,Research & Development,2,2,Life Sciences,1,1068,2,Male,74,3,1,Manufacturing Director,3,Single,3607.71,11574,3,Y,No,12,3,4,80,3,18,6,2,14,8,10,8,No
31,Travel_Rarely,1396,Sales,1,3,Medical,1,1069,2,Female,35,3,3,Sales Executive,3,Married,7417.05,4415,3,Y,No,21,3,4,80,2,11,1,2,7,5,2,4,No
40,Travel_Rarely,718,Research & Development,9,4,Life Sciences,1,1070,4,Male,98,2,1,Laboratory Technician,2,Divorced,2902.45,17979,3,Y,No,12,3,1,80,0,21,1,4,12,12,2,8,No
50,Travel_Frequently,344,Research & Development,9,2,Life Sciences,1,1071,1,Male,78,3,2,Research Scientist,4,Married,5846.12,3070,5,Y,No,17,3,4,80,2,31,5,4,24,9,14,7,No
36,Travel_Rarely,947,Research & Development,23,1,Marketing,1,1072,3,Male,68,2,4,Laboratory Technician,3,Single,9389.12,20638,0,Y,No,13,3,2,80,2,14,0,3,9,0,5,6,No
51,Travel_Rarely,549,Research & Development,7,3,Marketing,1,1073,1,Male,31,2,1,Research Scientist,1,Married,2676.06,16785,1,Y,No,23,3,2,80,1,29,6,4,4,2,3,3,Yes
18,Travel_Rarely,1029,Research & Development,3,2,Technical Degree,1,1074,1,Male,68,1,2,Laboratory Technician,2,Divorced,5227.17,18306,5,Y,Yes,25,3,2,80,2,0,6,4,0,0,0,0,Yes
44,Non-Travel,1370,Research & Development,26,4,Technical Degree,1,1075,4,Male,50,1,2,Laboratory Technician,4,Divorced,5926.14,12067,0,Y,Yes,24,3,3,80,0,26,1,3,23,17,13,0,Yes
37,Travel_Rarely,619,Research & Development,18,2,Medical,1,1076,1,Male,69,1,3,Laboratory Technician,4,Married,6541.92,9807,8,Y,No,21,3,1,80,2,19,0,3,10,3,0,1,Yes
34,Travel_Rarely,1264,Research & Development,11,5,Life Sciences,1,1077,3,Male,83,4,4,Research Scientist,4,Divorced,8985.24,25224,5,Y,Yes,14,3,3,80,0,13,1,1,6,2,3,3,Yes
37,Travel_Rarely,461,Research & Development,7,1,Marketing,1,1078,2,Male,41,1,4,Research Director,3,Single,9568.57,25097,6,Y,Yes,12,3,4,80,0,17,1,3,13,11,5,7,Yes
19,Travel_Rarely,107,Research & Development,9,3,Marketing,1,1079,4,Male,66,3,3,Research Scientist,4,Single,8202.86,20574,0,Y,No,15,3,1,80,1,0,6,4,0,0,0,0,No
35,Travel_Rarely,577,Sales,1,5,Marketing,1,1080,3,Female,67,3,1,Sales Executive,3,Single,3999.99,25648,7,Y,No,24,3,2,80,0,15,4,2,11,8,3,0,No
40,Travel_Rarely,1475,Research & Development,29,4,Medical,1,1081,2,Male,44,1,1,Research Scientist,2,Married,4250.82,9398,4,Y,No,19,4,1,80,0,18,6,3,14,13,4,4,Yes
50,Travel_Frequently,594,Research & Development,14,5,Life Sciences,1,1082,4,Male,36,4,2,Research Director,2,Single,5603.89,14202,4,Y,No,22,3,3,80,1,30,1,1,12,8,5,4,Yes
32,Travel_Rarely,932,Research & Development,20,5,Marketing,1,1083,4,Female,79,2,1,Research Director,4,Married,3395.41,4972,5,Y,No,19,3,4,80,0,12,6,4,9,9,9,4,No
29,Travel_Rarely,1162,Research & Development,6,4,Marketing,1,1084,2,Female,94,4,3,Laboratory Technician,2,Married,7921.65,19898,6,Y,No,17,3,4,80,1,11,5,1,2,2,0,0,Yes
32,Travel_Frequently,692,Research & Development,7,5,Human Resources,1,1085,2,Female,96,4,3,Healthcare Representative,1,Single,7050.32,13312,6,Y,Yes,22,3,3,80,3,10,0,1,8,0,6,6,Yes
45,Non-Travel,286,Research & Development,10,3,Life Sciences,1,1086,3,Male,73,2,1,Research Scientist,1,Divorced,3011.31,22354,4,Y,No,18,3,1,80,3,25,2,4,7,4,1,7,No
39,Travel_Rarely,853,Sales,7,2,Life Sciences,1,1087,1,Male,60,2,3,Manager,3,Single,6922.46,23103,0,Y,No,23,3,3,80,3,20,6,1,14,13,6,10,Yes
32,Travel_Rarely,192,Research & Development,26,5,Life Sciences,1,1088,1,Female,72,2,1,Research Scientist,4,Married,4044.44,15627,8,Y,No,24,3,4,80,0,14,6,4,6,0,2,6,No
41,Travel_Rarely,185,Research & Development,2,3,Marketing,1,1089,1,Male,77,3,2,Research Scientist,3,Married,5082.71,3345,5,Y,No,15,3,2,80,2,21,2,1,0,0,0,0,Yes
37,Non-Travel,1167,Sales,4,2,Life Sciences,1,1090,1,Male,90,2,3,Sales Executive,2,Single,8000.3,20301,8,Y,No,15,3,4,80,1,15,2,2,1,1,0,1,Yes
45,Non-Travel,236,Research & Development,21,2,Life Sciences,1,1091,1,Male,39,2,2,Laboratory Technician,4,Married,5574.23,9641,3,Y,No,22,3,4,80,3,26,0,3,8,3,3,0,Yes
30,Travel_Rarely,520,Research & Development,28,5,Human Resources,1,1092,3,Female,58,4,2,Manufacturing Director,3,Divorced,6050.87,17099,1,Y,No,13,4,1,80,1,8,0,2,4,1,0,0,Yes
34,Travel_Frequently,173,Research & Development,17,3,Life Sciences,1,1093,4,Male,77,4,1,Research Scientist,4,Divorced,2947.31,15385,2,Y,No,16,3,2,80,3,12,2,2,0,0,0,0,Yes
33,Travel_Rarely,1279,Sales,1,5,Marketing,1,1094,3,Female,91,1,2,Manager,4,Divorced,5187.24,10644,3,Y,No,11,3,4,80,3,11,5,1,8,0,5,0,Yes
23,Travel_Rarely,1378,Research & Development,10,4,Life Sciences,1,1095,3,Female,42,4,3,Laboratory Technician,3,Single,7726.99,3611,9,Y,No,13,4,2,80,0,2,1,3,0,0,0,0,No
39,Travel_Rarely,270,Research & Development,19,2,Marketing,1,1096,3,Male,73,2,4,Research Scientist,4,Married,9284.52,20462,7,Y,No,21,3,3,80,1,20,2,3,7,3,6,2,No
39,Travel_Frequently,269,Research & Development,15,5,Medical,1,1097,4,Female,76,3,2,Laboratory Technician,2,Single,4253.32,12773,2,Y,No,12,3,1,80,0,17,3,3,4,1,1,4,No
37,Travel_Rarely,971,Sales,10,2,Technical Degree,1,1098,3,Female,93,4,2,Sales Executive,1,Single,4813.87,20448,7,Y,Yes,17,4,2,80,1,16,6,1,10,10,8,4,Yes
34,Travel_Frequently,421,Research & Development,19,3,Technical Degree,1,1099,3,Female,82,4,3,Manufacturing Director,1,Single,6943.37,25763,5,Y,Yes,19,3,2,80,1,16,0,2,5,5,1,5,Yes
24,Travel_Frequently,555,Human Resources,12,1,Life Sciences,1,1100,4,Male,73,2,4,Human Resources,4,Single,8980.43,7779,3,Y,No,14,3,1,80,2,3,3,4,0,0,0,0,No
33,Travel_Frequently,1043,Research & Development,24,5,Life Sciences,1,1101,3,Female,57,4,1,Laboratory Technician,1,Divorced,3840.89,11450,6,Y,No,17,3,3,80,3,15,3,4,1,1,0,1,Yes
33,Travel_Rarely,889,Human Resources,16,5,Life Sciences,1,1102,1,Male,31,4,2,Human Resources,4,Single,5668.52,9150,4,Y,Yes,18,3,2,80,0,12,0,4,6,5,6,0,Yes
29,Travel_Rarely,712,Sales,9,2,Medical,1,1103,2,Female,86,2,3,Sales Executive,3,Married,7581.11,18737,4,Y,No,20,3,1,80,2,7,6,3,1,0,1,0,No
35,Travel_Rarely,1278,Research & Development,15,3,Technical Degree,1,1104,3,Male,86,4,2,Research Scientist,2,Married,6504.33,14592,8,Y,No,12,3,4,80,1,14,2,4,4,2,3,1,No
40,Travel_Rarely,988,Research & Development,27,4,Medical,1,1105,2,Male,63,3,1,Laboratory Technician,1,Married,4087.61,24102,2,Y,No,17,4,1,80,3,19,5,2,4,3,1,4,Yes
53,Travel_Rarely,448,Research & Development,28,3,Medical,1,1106,3,Female,87,1,2,Research Director,3,Divorced,5900.91,15861,9,Y,Yes,23,4,4,80,0,31,4,4,27,22,4,26,Yes
38,Non-Travel,1296,Research & Development,17,5,Life Sciences,1,1107,3,Female,81,4,1,Research Scientist,2,Single,2752.37,22020,3,Y,No,22,4,2,80,2,20,3,3,18,15,12,8,Yes
39,Travel_Rarely,109,Sales,14,4,Marketing,1,1108,1,Male,58,3,2,Sales Representative,1,Married,5529.77,11755,4,Y,No,13,3,2,80,1,17,2,3,12,4,10,7,Yes
36,Travel_Rarely,839,Research & Development,27,3,Other,1,1109,4,Male,64,4,2,Laboratory Technician,1,Married,5649.35,24428,0,Y,No,18,4,2,80,2,17,4,4,6,1,2,5,No
19,Travel_Rarely,1388,Research & Development,18,1,Life Sciences,1,1110,2,Male,77,1,4,Research Scientist,2,Single,9292.39,2711,6,Y,Yes,16,3,3,80,1,0,6,3,0,0,0,0,Yes
36,Travel_Rarely,1370,Research & Development,26,2,Medical,1,1111,4,Female,62,2,2,Healthcare Representative,3,Married,6353.19,15706,7,Y,No,13,3,3,80,1,17,3,4,13,10,6,13,No
37,Travel_Rarely,766,Sales,2,3,Life Sciences,1,1112,1,Female,38,1,1,Sales Executive,3,Divorced,3525.6,12924,5,Y,Yes,18,3,4,80,3,15,2,3,10,9,7,2,Yes
59,Travel_Rarely,645,Research & Development,4,3,Medical,1,1113,1,Female,77,4,1,Research Scientist,1,Single,2885.83,15073,8,Y,No,21,3,1,80,0,37,3,1,7,6,7,1,Yes
35,Non-Travel,228,Research & Development,18,1,Medical,1,1114,2,Male,96,1,4,Research Scientist,2,Single,9001.31,17921,2,Y,Yes,23,3,4,80,3,15,2,1,14,14,5,3,Yes
39,Travel_Rarely,700,Research & Development,7,5,Life Sciences,1,1115,4,Male,65,1,1,Research Scientist,3,Single,4641.17,22656,1,Y,No,13,3,1,80,0,20,6,2,2,0,1,0,No
36,Non-Travel,704,Sales,13,2,Medical,1,1116,1,Female,100,2,2,Sales Representative,2,Married,5289.94,19813,4,Y,Yes,19,3,2,80,0,16,5,1,3,2,2,1,Yes
26,Travel_Frequently,426,Research & Development,15,3,Life Sciences,1,1117,3,Female,73,4,1,Laboratory Technician,2,Married,2460.74,8444,8,Y,Yes,21,3,1,80,1,7,6,4,1,0,1,0,Yes
47,Travel_Rarely,1079,Research & Development,25,4,Medical,1,1118,3,Male,89,1,3,Healthcare Representative,1,Married,7200.33,12684,0,Y,No,13,3,3,80,2,27,1,3,3,2,0,3,Yes
43,Non-Travel,503,Research & Development,23,3,Medical,1,1119,3,Female,92,1,2,Research Scientist,2,Married,4586.69,5420,0,Y,No,11,4,1,80,0,23,1,2,17,10,17,6,Yes
44,Travel_Rarely,728,Research & Development,28,2,Life Sciences,1,1120,4,Male,34,2,2,Research Scientist,2,Divorced,5958.66,4068,9,Y,No,23,3,1,80,0,25,6,4,22,17,2,4,No
28,Travel_Frequently,1482,Research & Development,22,3,Marketing,1,1121,3,Male,69,3,2,Research Scientist,4,Married,4522.57,9159,2,Y,No,12,3,2,80,0,6,0,4,3,2,0,3,No
49,Travel_Rarely,817,Sales,26,1,Marketing,1,1122,3,Male,48,4,4,Sales Executive,2,Divorced,8798.9,6806,9,Y,No,14,3,2,80,0,31,4,2,19,11,6,12,No
24,Travel_Frequently,1140,Sales,1,3,Life Sciences,1,1123,1,Male,76,3,2,Manager,3,Divorced,5501.99,8844,2,Y,Yes,23,3,3,80,1,2,6,2,2,0,2,0,Yes
42,Travel_Frequently,373,Research & Development,11,3,Life Sciences,1,1124,1,Male,94,3,3,Laboratory Technician,1,Married,8054.69,13683,4,Y,No,21,4,1,80,3,24,6,4,12,11,0,6,Yes
56,Travel_Frequently,784,Sales,10,4,Marketing,1,1125,3,Male,96,2,4,Sales Executive,1,Married,9465.28,21615,3,Y,No,12,3,1,80,2,37,3,3,11,3,4,0,Yes
28,Travel_Frequently,215,Research & Development,25,1,Other,1,1126,3,Male,47,2,4,Healthcare Representative,2,Divorced,8871.18,4906,5,Y,No,14,3,1,80,1,7,3,4,7,7,6,3,No
31,Travel_Rarely,960,Sales,5,1,Life Sciences,1,1127,1,Female,79,4,1,Sales Representative,2,Divorced,3591.28,21935,7,Y,Yes,14,3,2,80,1,9,2,3,5,2,0,3,Yes
37,Travel_Rarely,792,Sales,16,3,Life Sciences,1,1128,2,Male,59,3,5,Sales Executive,3,Single,11266.1,22575,7,Y,No,14,4,3,80,1,17,4,2,8,2,7,8,No
32,Travel_Rarely,1214,Research & Development,11,4,Life Sciences,1,1129,4,Male,95,1,1,Manufacturing Director,4,Single,4066.35,21807,3,Y,Yes,11,3,1,80,0,10,3,4,3,3,0,0,Yes
23,Travel_Rarely,1205,Sales,21,3,Medical,1,1130,4,Male,34,3,2,Sales Executive,1,Divorced,5927.39,22441,0,Y,No,19,3,1,80,2,4,4,1,0,0,0,0,Yes
37,Travel_Rarely,423,Research & Development,6,3,Life Sciences,1,1131,1,Male,71,2,4,Research Scientist,4,Single,9231.42,23578,6,Y,Yes,20,3,1,80,1,16,6,4,16,0,10,6,Yes
27,Travel_Rarely,1060,Research & Development,9,2,Life Sciences,1,1132,4,Female,34,1,1,Research Scientist,3,Divorced,3889.89,13117,5,Y,Yes,21,3,1,80,1,6,4,3,2,1,0,2,Yes
41,Non-Travel,213,Research & Development,13,2,Medical,1,1133,1,Male,79,1,1,Laboratory Technician,1,Married,3635.61,5665,4,Y,No,17,4,3,80,1,19,1,4,0,0,0,0,Yes
