employee_id,full_name,department,job_role,monthly_income,overtime,risk_score,risk_category,recommended_actions
EMP39,Employee #39,Research & Development,Laboratory Technician,2496.0,No,0.8062906572722994,High Risk,New hire (under 2 years). Prioritize onboarding feedback and mentorship programs.; Compensation check. Monthly income is below average; review compensation structure.
EMP40,Employee #40,Research & Development,Healthcare Representative,6465.0,Yes,0.7149308737582039,High Risk,Reduce overtime load where possible to prevent burnout.
EMP41,Employee #41,Research & Development,Laboratory Technician,2206.0,No,0.6308327430816187,High Risk,Compensation check. Monthly income is below average; review compensation structure.
EMP42,Employee #42,Sales,Sales Representative,2086.0,No,0.9186874185250554,High Risk,New hire (under 2 years). Prioritize onboarding feedback and mentorship programs.; Compensation check. Monthly income is below average; review compensation structure.
EMP45,Employee #45,Research & Development,Research Scientist,2293.0,Yes,0.9672229108658493,High Risk,Reduce overtime load where possible to prevent burnout.; Review work schedule for better balance.; Compensation check. Monthly income is below average; review compensation structure.
EMP46,Employee #46,Research & Development,Research Scientist,2645.0,No,0.7184151412112355,High Risk,Review work schedule for better balance.; Compensation check. Monthly income is below average; review compensation structure.
EMP47,Employee #47,Sales,Sales Representative,2683.0,Yes,0.983002595689069,High Risk,Reduce overtime load where possible to prevent burnout.; Compensation check. Monthly income is below average; review compensation structure.
EMP49,Employee #49,Sales,Sales Representative,2014.0,No,0.8324239049882278,High Risk,Compensation check. Monthly income is below average; review compensation structure.
EMP51,Employee #51,Research & Development,Research Scientist,3419.0,Yes,0.9908736806904668,High Risk,Reduce overtime load where possible to prevent burnout.; Low job satisfaction detected. Recommend a career development check-in.; New hire (under 2 years). Prioritize onboarding feedback and mentorship programs.; Compensation check. Monthly income is below average; review compensation structure.
EMP52,Employee #52,Sales,Sales Executive,5376.0,No,0.5608833410518508,High Risk,Low job satisfaction detected. Recommend a career development check-in.
EMP53,Employee #53,Research & Development,Laboratory Technician,1951.0,No,0.8152421021845412,High Risk,New hire (under 2 years). Prioritize onboarding feedback and mentorship programs.; Compensation check. Monthly income is below average; review compensation structure.
EMP54,Employee #54,Research & Development,Laboratory Technician,2341.0,No,0.8211382649340868,High Risk,Low job satisfaction detected. Recommend a career development check-in.; New hire (under 2 years). Prioritize onboarding feedback and mentorship programs.; Compensation check. Monthly income is below average; review compensation structure.
EMP55,Employee #55,Research & Development,Laboratory Technician,2293.0,No,0.9943453066912715,High Risk,Review work schedule for better balance.; New hire (under 2 years). Prioritize onboarding feedback and mentorship programs.; Compensation check. Monthly income is below average; review compensation structure.
EMP56,Employee #56,Sales,Sales Executive,8726.0,No,0.15410194061488872,Low Risk,Continue standard engagement and positive reinforcement.
EMP57,Employee #57,Research & Development,Laboratory Technician,4011.0,No,0.2897957970516759,Low Risk,Continue standard engagement and positive reinforcement.
EMP58,Employee #58,Research & Development,Research Director,19545.0,No,0.01641428771420386,Low Risk,Continue standard engagement and positive reinforcement.
EMP60,Employee #60,Sales,Sales Executive,4568.0,No,0.07725796412124661,Low Risk,Continue standard engagement and positive reinforcement.
EMP61,Employee #61,Research & Development,Research Scientist,3022.0,No,0.9551074847845354,High Risk,Moderate job satisfaction. Seek feedback on potential workplace friction points.; New hire (under 2 years). Prioritize onboarding feedback and mentorship programs.; Compensation check. Monthly income is below average; review compensation structure.
EMP62,Employee #62,Sales,Sales Executive,5772.0,Yes,0.9732072407815578,High Risk,Reduce overtime load where possible to prevent burnout.
EMP63,Employee #63,Research & Development,Laboratory Technician,2269.0,No,0.8892352303352233,High Risk,New hire (under 2 years). Prioritize onboarding feedback and mentorship programs.; Compensation check. Monthly income is below average; review compensation structure.
EMP64,Employee #64,Research & Development,Laboratory Technician,5381.0,Yes,0.9450866094113107,High Risk,Reduce overtime load where possible to prevent burnout.; New hire (under 2 years). Prioritize onboarding feedback and mentorship programs.
EMP65,Employee #65,Research & Development,Laboratory Technician,3441.0,Yes,0.8134032221264672,High Risk,Reduce overtime load where possible to prevent burnout.; Review work schedule for better balance.; Compensation check. Monthly income is below average; review compensation structure.
EMP68,Employee #68,Sales,Sales Executive,5454.0,Yes,0.8834180732169256,High Risk,Reduce overtime load where possible to prevent burnout.; Low job satisfaction detected. Recommend a career development check-in.; Review work schedule for better balance.
EMP70,Employee #70,Research & Development,Healthcare Representative,9884.0,Yes,0.9455039326170155,High Risk,Reduce overtime load where possible to prevent burnout.; Low job satisfaction detected. Recommend a career development check-in.
EMP72,Employee #72,Sales,Sales Executive,4157.0,Yes,0.9027694643827121,High Risk,Reduce overtime load where possible to prevent burnout.; Review work schedule for better balance.
EMP73,Employee #73,Research & Development,Research Director,13458.0,Yes,0.9898929637519525,High Risk,Reduce overtime load where possible to prevent burnout.
EMP74,Employee #74,Sales,Sales Executive,9069.0,No,0.8341951811101544,High Risk,Low job satisfaction detected. Recommend a career development check-in.; Review work schedule for better balance.
EMP75,Employee #75,Research & Development,Laboratory Technician,4014.0,Yes,0.9064753942439644,High Risk,Reduce overtime load where possible to prevent burnout.; Low job satisfaction detected. Recommend a career development check-in.
EMP76,Employee #76,Research & Development,Laboratory Technician,5915.0,No,0.017263894807318922,Low Risk,Review work schedule for better balance.
EMP77,Employee #77,Research & Development,Manufacturing Director,5993.0,No,0.27725027943177344,Low Risk,Continue standard engagement and positive reinforcement.
EMP78,Employee #78,Research & Development,Manufacturing Director,6162.0,Yes,0.9512217178605955,High Risk,Reduce overtime load where possible to prevent burnout.
EMP79,Employee #79,Research & Development,Laboratory Technician,2406.0,No,0.9576568100926351,High Risk,Compensation check. Monthly income is below average; review compensation structure.
EMP80,Employee #80,Research & Development,Research Director,18740.0,Yes,0.48387365113919983,Low Risk,Reduce overtime load where possible to prevent burnout.; Review work schedule for better balance.
EMP81,Employee #81,Sales,Sales Executive,7637.0,No,0.9941833812144265,High Risk,Low job satisfaction detected. Recommend a career development check-in.; Review work schedule for better balance.
EMP83,Employee #83,Research & Development,Healthcare Representative,10096.0,No,0.017977851313059186,Low Risk,Continue standard engagement and positive reinforcement.
EMP84,Employee #84,Research & Development,Manager,14756.0,Yes,0.7074764355784057,High Risk,Reduce overtime load where possible to prevent burnout.
EMP85,Employee #85,Research & Development,Manufacturing Director,6499.0,No,0.35276723965283796,Low Risk,Moderate job satisfaction. Seek feedback on potential workplace friction points.
EMP86,Employee #86,Research & Development,Research Scientist,9724.0,No,0.6086813753775123,High Risk,Low job satisfaction detected. Recommend a career development check-in.; New hire (under 2 years). Prioritize onboarding feedback and mentorship programs.
EMP88,Employee #88,Research & Development,Research Scientist,2194.0,No,0.9428702937984855,High Risk,Low job satisfaction detected. Recommend a career development check-in.; Review work schedule for better balance.; Compensation check. Monthly income is below average; review compensation structure.
EMP90,Employee #90,Research & Development,Research Scientist,3388.0,Yes,0.9657868947730672,High Risk,Reduce overtime load where possible to prevent burnout.; Review work schedule for better balance.; New hire (under 2 years). Prioritize onboarding feedback and mentorship programs.; Compensation check. Monthly income is below average; review compensation structure.
EMP91,Employee #91,Sales,Sales Executive,5473.0,No,0.285426799013617,Low Risk,Review work schedule for better balance.
EMP94,Employee #94,Research & Development,Research Scientist,2703.0,No,0.7277796727244801,High Risk,Moderate job satisfaction. Seek feedback on potential workplace friction points.; Compensation check. Monthly income is below average; review compensation structure.
EMP95,Employee #95,Research & Development,Research Scientist,2501.0,No,0.902607034378128,High Risk,Moderate job satisfaction. Seek feedback on potential workplace friction points.; New hire (under 2 years). Prioritize onboarding feedback and mentorship programs.; Compensation check. Monthly income is below average; review compensation structure.
EMP96,Employee #96,Research & Development,Research Scientist,6220.0,No,0.036534186639359596,Low Risk,Moderate job satisfaction. Seek feedback on potential workplace friction points.
EMP97,Employee #97,Research & Development,Laboratory Technician,3038.0,No,0.704946557487575,High Risk,New hire (under 2 years). Prioritize onboarding feedback and mentorship programs.; Compensation check. Monthly income is below average; review compensation structure.
EMP98,Employee #98,Research & Development,Manufacturing Director,4424.0,No,0.02133569398491513,Low Risk,Continue standard engagement and positive reinforcement.
EMP100,Employee #100,Sales,Sales Executive,4312.0,No,0.3569715325462955,Low Risk,Low job satisfaction detected. Recommend a career development check-in.
EMP101,Employee #101,Research & Development,Research Director,13245.0,Yes,0.9668461869768717,High Risk,Reduce overtime load where possible to prevent burnout.; Low job satisfaction detected. Recommend a career development check-in.
EMP102,Employee #102,Research & Development,Research Director,13664.0,No,0.12558082894208958,Low Risk,Continue standard engagement and positive reinforcement.
EMP103,Employee #103,Human Resources,Human Resources,5021.0,Yes,0.708654771549422,High Risk,Reduce overtime load where possible to prevent burnout.; Moderate job satisfaction. Seek feedback on potential workplace friction points.
EMP104,Employee #104,Research & Development,Laboratory Technician,5126.0,Yes,0.8603662316322725,High Risk,Reduce overtime load where possible to prevent burnout.; Review work schedule for better balance.
EMP105,Employee #105,Research & Development,Research Scientist,2859.0,No,0.5399542816835112,High Risk,Compensation check. Monthly income is below average; review compensation structure.
EMP106,Employee #106,Sales,Sales Executive,10239.0,No,0.7162706848911695,High Risk,New hire (under 2 years). Prioritize onboarding feedback and mentorship programs.
EMP107,Employee #107,Research & Development,Research Scientist,5329.0,Yes,0.989102274270241,High Risk,Reduce overtime load where possible to prevent burnout.
EMP110,Employee #110,Research & Development,Manufacturing Director,4325.0,No,0.6575229538666466,High Risk,Moderate job satisfaction. Seek feedback on potential workplace friction points.
EMP112,Employee #112,Research & Development,Manufacturing Director,7260.0,No,0.24349345988662757,Low Risk,Review work schedule for better balance.
EMP113,Employee #113,Sales,Sales Representative,2322.0,No,0.8377518668628458,High Risk,Low job satisfaction detected. Recommend a career development check-in.; Compensation check. Monthly income is below average; review compensation structure.
EMP116,Employee #116,Research & Development,Laboratory Technician,2075.0,No,0.8088817619108195,High Risk,Compensation check. Monthly income is below average; review compensation structure.
EMP117,Employee #117,Research & Development,Healthcare Representative,4152.0,No,0.018388291404069775,Low Risk,Continue standard engagement and positive reinforcement.
EMP118,Employee #118,Sales,Sales Executive,9619.0,No,0.022525961888814193,Low Risk,Continue standard engagement and positive reinforcement.
EMP119,Employee #119,Research & Development,Healthcare Representative,13503.0,No,0.426371421031828,Low Risk,Moderate job satisfaction. Seek feedback on potential workplace friction points.; Review work schedule for better balance.
EMP120,Employee #120,Sales,Sales Executive,5441.0,Yes,0.9812592294201453,High Risk,Reduce overtime load where possible to prevent burnout.; Critical work-life balance issues. Explore flexible hours or remote work options.
EMP121,Employee #121,Sales,Sales Executive,5209.0,Yes,0.6708124895442575,High Risk,Reduce overtime load where possible to prevent burnout.; Moderate job satisfaction. Seek feedback on potential workplace friction points.; Review work schedule for better balance.
EMP124,Employee #124,Research & Development,Healthcare Representative,10673.0,Yes,0.9814837331407683,High Risk,Reduce overtime load where possible to prevent burnout.; Low job satisfaction detected. Recommend a career development check-in.; Review work schedule for better balance.
EMP125,Employee #125,Sales,Sales Executive,5010.0,No,0.03336908921178921,Low Risk,Continue standard engagement and positive reinforcement.
EMP126,Employee #126,Research & Development,Research Director,13549.0,No,0.8505639551859101,High Risk,Critical work-life balance issues. Explore flexible hours or remote work options.
EMP128,Employee #128,Sales,Sales Executive,4999.0,No,0.40548800588329204,Low Risk,Review work schedule for better balance.
EMP129,Employee #129,Sales,Sales Executive,4221.0,No,0.023332632862698082,Low Risk,Continue standard engagement and positive reinforcement.
EMP131,Employee #131,Sales,Sales Executive,13872.0,No,0.03322781010326545,Low Risk,Review work schedule for better balance.
EMP132,Employee #132,Research & Development,Laboratory Technician,2042.0,No,0.9251965149432506,High Risk,Moderate job satisfaction. Seek feedback on potential workplace friction points.; Compensation check. Monthly income is below average; review compensation structure.
EMP133,Employee #133,Human Resources,Human Resources,2073.0,Yes,0.9781603659890166,High Risk,Reduce overtime load where possible to prevent burnout.; Low job satisfaction detected. Recommend a career development check-in.; Compensation check. Monthly income is below average; review compensation structure.
EMP134,Employee #134,Research & Development,Research Scientist,2956.0,No,0.7658416930617593,High Risk,Low job satisfaction detected. Recommend a career development check-in.; New hire (under 2 years). Prioritize onboarding feedback and mentorship programs.; Compensation check. Monthly income is below average; review compensation structure.
EMP137,Employee #137,Research & Development,Laboratory Technician,2926.0,Yes,0.9894729002184429,High Risk,Reduce overtime load where possible to prevent burnout.; New hire (under 2 years). Prioritize onboarding feedback and mentorship programs.; Compensation check. Monthly income is below average; review compensation structure.
EMP138,Employee #138,Research & Development,Research Scientist,4809.0,No,0.2995629299760059,Low Risk,Continue standard engagement and positive reinforcement.
EMP139,Employee #139,Research & Development,Healthcare Representative,5163.0,No,0.16368436957145824,Low Risk,New hire (under 2 years). Prioritize onboarding feedback and mentorship programs.
EMP140,Employee #140,Human Resources,Manager,18844.0,No,0.053634811541547554,Low Risk,Continue standard engagement and positive reinforcement.
EMP141,Employee #141,Research & Development,Research Director,18172.0,Yes,0.9678638503532576,High Risk,Reduce overtime load where possible to prevent burnout.; Moderate job satisfaction. Seek feedback on potential workplace friction points.; Review work schedule for better balance.
EMP142,Employee #142,Sales,Sales Executive,5744.0,Yes,0.5119410424659057,High Risk,Reduce overtime load where possible to prevent burnout.
EMP143,Employee #143,Research & Development,Research Scientist,2889.0,No,0.5013802901788359,High Risk,Compensation check. Monthly income is below average; review compensation structure.
EMP144,Employee #144,Research & Development,Laboratory Technician,2871.0,No,0.7704199607003683,High Risk,Compensation check. Monthly income is below average; review compensation structure.
EMP145,Employee #145,Research & Development,Healthcare Representative,7484.0,No,0.9548128367998774,High Risk,Low job satisfaction detected. Recommend a career development check-in.; Review work schedule for better balance.
EMP147,Employee #147,Research & Development,Laboratory Technician,6074.0,Yes,0.9982642489474378,High Risk,Reduce overtime load where possible to prevent burnout.
EMP148,Employee #148,Human Resources,Manager,17328.0,Yes,0.8062055932424502,High Risk,Reduce overtime load where possible to prevent burnout.
EMP150,Employee #150,Research & Development,Laboratory Technician,2774.0,No,0.8516168980156464,High Risk,Compensation check. Monthly income is below average; review compensation structure.
EMP151,Employee #151,Research & Development,Research Scientist,4505.0,No,0.2953209151362704,Low Risk,Moderate job satisfaction. Seek feedback on potential workplace friction points.; New hire (under 2 years). Prioritize onboarding feedback and mentorship programs.
EMP152,Employee #152,Sales,Sales Executive,7428.0,No,0.02312955839817779,Low Risk,Continue standard engagement and positive reinforcement.
EMP153,Employee #153,Research & Development,Manager,11631.0,No,0.4271495562544537,Low Risk,Low job satisfaction detected. Recommend a career development check-in.
EMP154,Employee #154,Sales,Sales Executive,9738.0,No,0.08606526749054366,Low Risk,Continue standard engagement and positive reinforcement.
EMP155,Employee #155,Research & Development,Laboratory Technician,2835.0,No,0.9816111963965017,High Risk,New hire (under 2 years). Prioritize onboarding feedback and mentorship programs.; Compensation check. Monthly income is below average; review compensation structure.
EMP158,Employee #158,Sales,Manager,16959.0,Yes,0.9451868635375957,High Risk,Reduce overtime load where possible to prevent burnout.
EMP159,Employee #159,Research & Development,Research Scientist,2613.0,No,0.993316252854811,High Risk,Review work schedule for better balance.; Compensation check. Monthly income is below average; review compensation structure.
EMP160,Employee #160,Sales,Sales Executive,6146.0,No,0.172584323110288,Low Risk,Moderate job satisfaction. Seek feedback on potential workplace friction points.
EMP161,Employee #161,Research & Development,Research Scientist,4963.0,Yes,0.8421853199789461,High Risk,Reduce overtime load where possible to prevent burnout.; Moderate job satisfaction. Seek feedback on potential workplace friction points.
EMP162,Employee #162,Research & Development,Research Director,19537.0,No,0.22195783650564327,Low Risk,Continue standard engagement and positive reinforcement.
EMP163,Employee #163,Sales,Sales Executive,6172.0,Yes,0.9237134970556532,High Risk,Reduce overtime load where possible to prevent burnout.; Review work schedule for better balance.
EMP164,Employee #164,Research & Development,Research Scientist,2368.0,No,0.6092652554372684,High Risk,Moderate job satisfaction. Seek feedback on potential workplace friction points.; Review work schedule for better balance.; Compensation check. Monthly income is below average; review compensation structure.
EMP165,Employee #165,Research & Development,Healthcare Representative,10312.0,No,0.037759277783111896,Low Risk,Review work schedule for better balance.
EMP167,Employee #167,Sales,Sales Representative,1675.0,Yes,0.9961735781492854,High Risk,Reduce overtime load where possible to prevent burnout.; Review work schedule for better balance.; Compensation check. Monthly income is below average; review compensation structure.
EMP169,Employee #169,Research & Development,Laboratory Technician,2523.0,No,0.8182684662394493,High Risk,Compensation check. Monthly income is below average; review compensation structure.
EMP170,Employee #170,Research & Development,Manufacturing Director,6567.0,No,0.8244530855858344,High Risk,Low job satisfaction detected. Recommend a career development check-in.; Review work schedule for better balance.
EMP171,Employee #171,Research & Development,Research Scientist,4739.0,No,0.17251880863421296,Low Risk,Continue standard engagement and positive reinforcement.
EMP174,Employee #174,Sales,Sales Executive,9208.0,No,0.11597786966646317,Low Risk,Continue standard engagement and positive reinforcement.
EMP175,Employee #175,Sales,Sales Executive,4559.0,Yes,0.9956767462149566,High Risk,Reduce overtime load where possible to prevent burnout.
EMP176,Employee #176,Sales,Sales Executive,8189.0,Yes,0.9177037589386148,High Risk,Reduce overtime load where possible to prevent burnout.
EMP177,Employee #177,Human Resources,Human Resources,2942.0,No,0.8311466517834282,High Risk,Compensation check. Monthly income is below average; review compensation structure.
EMP178,Employee #178,Research & Development,Manufacturing Director,4941.0,No,0.030927448785239706,Low Risk,Moderate job satisfaction. Seek feedback on potential workplace friction points.
EMP179,Employee #179,Research & Development,Manufacturing Director,10650.0,No,0.6639264398781093,High Risk,Continue standard engagement and positive reinforcement.
EMP182,Employee #182,Sales,Sales Executive,5902.0,No,0.024227837615654255,Low Risk,Continue standard engagement and positive reinforcement.
EMP183,Employee #183,Sales,Sales Executive,8639.0,No,0.4782790111342497,Low Risk,Continue standard engagement and positive reinforcement.
EMP184,Employee #184,Human Resources,Human Resources,6347.0,Yes,0.9612689272090067,High Risk,Reduce overtime load where possible to prevent burnout.; Critical work-life balance issues. Explore flexible hours or remote work options.
EMP190,Employee #190,Research & Development,Laboratory Technician,4200.0,No,0.9674527708041688,High Risk,Low job satisfaction detected. Recommend a career development check-in.
EMP192,Employee #192,Research & Development,Research Scientist,3452.0,No,0.559061926625892,High Risk,Review work schedule for better balance.; Compensation check. Monthly income is below average; review compensation structure.
EMP193,Employee #193,Research & Development,Research Scientist,4317.0,Yes,0.6030416466285408,High Risk,Reduce overtime load where possible to prevent burnout.
EMP194,Employee #194,Research & Development,Research Scientist,2632.0,No,0.9450234667229802,High Risk,Review work schedule for better balance.; Compensation check. Monthly income is below average; review compensation structure.
EMP195,Employee #195,Sales,Sales Executive,4668.0,No,0.690316032306598,High Risk,Continue standard engagement and positive reinforcement.
EMP197,Employee #197,Research & Development,Research Scientist,3204.0,No,0.7231002642621858,High Risk,Low job satisfaction detected. Recommend a career development check-in.; Compensation check. Monthly income is below average; review compensation structure.
EMP198,Employee #198,Research & Development,Laboratory Technician,2720.0,No,0.7720652682556352,High Risk,Compensation check. Monthly income is below average; review compensation structure.
EMP199,Employee #199,Research & Development,Manager,17181.0,No,0.649498211565976,High Risk,Low job satisfaction detected. Recommend a career development check-in.; Review work schedule for better balance.
EMP200,Employee #200,Research & Development,Laboratory Technician,2238.0,No,0.8555309799815756,High Risk,Low job satisfaction detected. Recommend a career development check-in.; Compensation check. Monthly income is below average; review compensation structure.
EMP201,Employee #201,Research & Development,Laboratory Technician,1483.0,No,0.8823116076796776,High Risk,Moderate job satisfaction. Seek feedback on potential workplace friction points.; New hire (under 2 years). Prioritize onboarding feedback and mentorship programs.; Compensation check. Monthly income is below average; review compensation structure.
EMP202,Employee #202,Research & Development,Research Scientist,5605.0,No,0.5938681180188627,High Risk,Moderate job satisfaction. Seek feedback on potential workplace friction points.
EMP204,Employee #204,Sales,Sales Executive,7295.0,No,0.05965575365545021,Low Risk,Moderate job satisfaction. Seek feedback on potential workplace friction points.
EMP205,Employee #205,Sales,Sales Representative,2306.0,Yes,0.9852865823330414,High Risk,Reduce overtime load where possible to prevent burnout.; Critical work-life balance issues. Explore flexible hours or remote work options.; Compensation check. Monthly income is below average; review compensation structure.
EMP206,Employee #206,Research & Development,Laboratory Technician,2348.0,No,0.9395589013323095,High Risk,Moderate job satisfaction. Seek feedback on potential workplace friction points.; Critical work-life balance issues. Explore flexible hours or remote work options.; Compensation check. Monthly income is below average; review compensation structure.
EMP207,Employee #207,Sales,Sales Executive,8998.0,No,0.06251174007203696,Low Risk,Continue standard engagement and positive reinforcement.
EMP208,Employee #208,Research & Development,Manufacturing Director,4319.0,No,0.01770446770269459,Low Risk,Continue standard engagement and positive reinforcement.
EMP211,Employee #211,Research & Development,Manufacturing Director,6132.0,No,0.09199276278823718,Low Risk,New hire (under 2 years). Prioritize onboarding feedback and mentorship programs.
EMP214,Employee #214,Research & Development,Research Scientist,3346.0,Yes,0.9268508673730211,High Risk,Reduce overtime load where possible to prevent burnout.; Moderate job satisfaction. Seek feedback on potential workplace friction points.; Review work schedule for better balance.; New hire (under 2 years). Prioritize onboarding feedback and mentorship programs.; Compensation check. Monthly income is below average; review compensation structure.
EMP215,Employee #215,Sales,Sales Executive,10855.0,No,0.01865794043459223,Low Risk,Review work schedule for better balance.
EMP216,Employee #216,Sales,Sales Representative,2231.0,No,0.9132289947665974,High Risk,Compensation check. Monthly income is below average; review compensation structure.
EMP217,Employee #217,Research & Development,Research Scientist,2323.0,No,0.6185240912069041,High Risk,Compensation check. Monthly income is below average; review compensation structure.
EMP218,Employee #218,Research & Development,Research Scientist,2024.0,No,0.9228593291083719,High Risk,Moderate job satisfaction. Seek feedback on potential workplace friction points.; Critical work-life balance issues. Explore flexible hours or remote work options.; Compensation check. Monthly income is below average; review compensation structure.
EMP221,Employee #221,Research & Development,Research Scientist,2713.0,No,0.8783541573151373,High Risk,Critical work-life balance issues. Explore flexible hours or remote work options.; Compensation check. Monthly income is below average; review compensation structure.
EMP223,Employee #223,Research & Development,Healthcare Representative,9439.0,Yes,0.9793170330238835,High Risk,Reduce overtime load where possible to prevent burnout.; Critical work-life balance issues. Explore flexible hours or remote work options.
EMP224,Employee #224,Research & Development,Research Scientist,2566.0,Yes,0.9822670714641418,High Risk,Reduce overtime load where possible to prevent burnout.; Review work schedule for better balance.; New hire (under 2 years). Prioritize onboarding feedback and mentorship programs.; Compensation check. Monthly income is below average; review compensation structure.
EMP226,Employee #226,Research & Development,Manager,19926.0,No,0.11321586514325008,Low Risk,Moderate job satisfaction. Seek feedback on potential workplace friction points.
EMP227,Employee #227,Research & Development,Research Scientist,2451.0,No,0.8770017940457531,High Risk,Compensation check. Monthly income is below average; review compensation structure.
EMP228,Employee #228,Sales,Sales Executive,9419.0,No,0.016898679195461522,Low Risk,Continue standard engagement and positive reinforcement.
EMP230,Employee #230,Sales,Sales Executive,8686.0,No,0.3879747738871621,Low Risk,Continue standard engagement and positive reinforcement.
EMP231,Employee #231,Research & Development,Research Scientist,3038.0,No,0.5714885423185805,High Risk,Compensation check. Monthly income is below average; review compensation structure.
